run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,1000271589,2025-01-01,2025-04-01,41805738.0,41805738.0,0.0,0.0,41805738.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296814,2025-01-01,2025-04-01,1240158554.0,1240158554.0,0.0,0.0,1240158554.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296790,2025-01-01,2025-04-01,21669174944.7,21669174944.7,0.0,0.0,21669174944.7,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271581,2025-01-01,2025-04-01,22666493467.0,763086784.5596579,0.0,0.0,763086784.5596579,1.0,0.0,,,,Quý trước
2025-05-05,500603355,320853,2025-01-01,2025-04-01,263665217.0,263665217.0,0.0,0.0,263665217.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,310188,2025-01-01,2025-04-01,749237276.0,749237276.0,0.0,0.0,749237276.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296820,2025-01-01,2025-04-01,682795471.0,682795471.0,0.0,0.0,682795471.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271594,2025-01-01,2025-04-01,82026420.0,82026420.0,0.0,0.0,82026420.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,326600,2025-04-01,2025-04-29,498769161.0,498769161.0,0.0,0.0,498769161.0,1.0,0.0,,,,Tháng này
2025-05-05,500603355,1000271538,2025-04-01,2025-04-29,4213958163.0,4213958163.0,0.0,0.0,4213958163.0,1.0,0.0,,,,Tháng này
2025-05-05,500603355,296817,2025-04-01,2025-04-29,44238715.0,44238715.0,0.0,0.0,44238715.0,1.0,0.0,,,,Tháng này
2025-05-05,500603355,1000271648,2025-04-01,2025-04-29,37935142.0,37935142.0,0.0,0.0,37935142.0,1.0,0.0,,,,Tháng này
2025-05-05,500603355,296819,2025-04-01,2025-04-29,761359895.0,761359895.0,0.0,0.0,761359895.0,1.0,0.0,"[""payment_point"",""employee_salary"",""damage_product"",""delivery_partner_fee"",""payment_voucher"",""OtherCosts""]","[0,0,0,0,0,0]",[],Tháng này
2025-05-05,500603355,1000271587,2025-04-01,2025-04-29,2123902560.0,2123902560.0,0.0,0.0,2123902560.0,1.0,0.0,,,,Tháng này
2025-05-05,500603355,296815,2025-04-01,2025-04-29,501227275.0,501227275.0,0.0,0.0,501227275.0,1.0,0.0,,,,Tháng này
